# Forces      
# CofR        : (3.250000e+00 0.000000e+00 2.000000e-01)
# Time        forces(pressure viscous)	moments(pressure viscous)
2700          	((-4.708067e-01 3.210060e+02 2.051187e+02) (-1.132919e+00 -2.500928e-02 1.438327e-03)) ((7.281760e+00 -6.874271e-01 3.118051e+00) (-5.238837e-04 9.982812e-02 -9.756201e-02))
2800          	((-4.310412e-01 3.213737e+02 2.051679e+02) (-1.133393e+00 -2.528966e-02 1.693781e-03)) ((7.296913e+00 -5.943448e-01 2.754628e+00) (-5.758245e-04 1.002428e-01 -9.726317e-02))
2900          	((-3.833831e-01 3.217237e+02 2.051939e+02) (-1.134085e+00 -2.536031e-02 1.539933e-03)) ((7.309222e+00 -4.819789e-01 2.342798e+00) (-6.053419e-04 1.002306e-01 -9.721858e-02))
3000          	((-3.359536e-01 3.220471e+02 2.052016e+02) (-1.134732e+00 -2.526372e-02 7.267152e-04)) ((7.317923e+00 -3.541346e-01 1.938787e+00) (-5.861121e-04 9.983456e-02 -9.726837e-02))
3100          	((-2.963262e-01 3.222787e+02 2.052189e+02) (-1.134176e+00 -2.518148e-02 -1.298476e-04)) ((7.327120e+00 -2.266935e-01 1.593523e+00) (-5.800136e-04 9.903544e-02 -9.729487e-02))
3200          	((-2.847422e-01 3.223052e+02 2.052204e+02) (-1.133416e+00 -2.532820e-02 -7.133608e-04)) ((7.332241e+00 -1.288978e-01 1.473571e+00) (-5.909630e-04 9.845560e-02 -9.722345e-02))
3300          	((-2.730197e-01 3.223711e+02 2.052754e+02) (-1.132252e+00 -2.552322e-02 -7.511386e-04)) ((7.335710e+00 -2.062513e-02 1.352892e+00) (-6.363089e-04 9.814121e-02 -9.713893e-02))
3400          	((-2.552159e-01 3.225229e+02 2.053654e+02) (-1.132666e+00 -2.564859e-02 -8.411151e-04)) ((7.336407e+00 9.095620e-02 1.192593e+00) (-6.747196e-04 9.778078e-02 -9.727507e-02))
3500          	((-2.402806e-01 3.227090e+02 2.054965e+02) (-1.132798e+00 -2.566928e-02 -1.222151e-03)) ((7.335623e+00 1.978901e-01 1.054412e+00) (-6.809624e-04 9.735068e-02 -9.740880e-02))
3600          	((-2.370635e-01 3.228048e+02 2.056098e+02) (-1.131894e+00 -2.558556e-02 -1.571110e-03)) ((7.333013e+00 2.768412e-01 1.016942e+00) (-6.796902e-04 9.683355e-02 -9.752418e-02))
3700          	((-2.397133e-01 3.228444e+02 2.057021e+02) (-1.130871e+00 -2.554123e-02 -1.806426e-03)) ((7.329347e+00 3.307629e-01 1.033333e+00) (-6.783915e-04 9.643191e-02 -9.760429e-02))
3800          	((-2.462973e-01 3.228736e+02 2.058066e+02) (-1.130336e+00 -2.551253e-02 -1.960714e-03)) ((7.325360e+00 3.726660e-01 1.085724e+00) (-6.783786e-04 9.606104e-02 -9.771055e-02))
3900          	((-2.556410e-01 3.228795e+02 2.058924e+02) (-1.129851e+00 -2.546823e-02 -2.078478e-03)) ((7.320538e+00 3.969138e-01 1.165155e+00) (-6.746432e-04 9.569594e-02 -9.786611e-02))
4000          	((-2.667543e-01 3.228665e+02 2.059637e+02) (-1.129725e+00 -2.537164e-02 -2.219159e-03)) ((7.314592e+00 4.000072e-01 1.267202e+00) (-6.642430e-04 9.531467e-02 -9.805284e-02))
4100          	((-2.848794e-01 3.227945e+02 2.060148e+02) (-1.129294e+00 -2.521759e-02 -2.404791e-03)) ((7.307596e+00 3.801994e-01 1.430424e+00) (-6.480791e-04 9.491127e-02 -9.816865e-02))
4200          	((-3.096491e-01 3.226386e+02 2.060207e+02) (-1.128530e+00 -2.502181e-02 -2.651935e-03)) ((7.300124e+00 3.374180e-01 1.650902e+00) (-6.208424e-04 9.457865e-02 -9.824659e-02))
4300          	((-3.409717e-01 3.224346e+02 2.060000e+02) (-1.127809e+00 -2.486534e-02 -2.868015e-03)) ((7.293250e+00 2.682503e-01 1.928243e+00) (-5.895069e-04 9.436274e-02 -9.829157e-02))
4400          	((-3.739033e-01 3.222249e+02 2.059674e+02) (-1.127964e+00 -2.475609e-02 -2.970981e-03)) ((7.287010e+00 1.916829e-01 2.215090e+00) (-5.630120e-04 9.432976e-02 -9.835146e-02))
4500          	((-4.041804e-01 3.220042e+02 2.059085e+02) (-1.127774e+00 -2.463930e-02 -3.125278e-03)) ((7.281732e+00 1.140341e-01 2.477758e+00) (-5.216077e-04 9.444924e-02 -9.836026e-02))
4600          	((-4.293829e-01 3.217631e+02 2.058255e+02) (-1.127488e+00 -2.455665e-02 -3.048541e-03)) ((7.278918e+00 3.697076e-02 2.700077e+00) (-5.024420e-04 9.469062e-02 -9.829244e-02))
4700          	((-4.513830e-01 3.215437e+02 2.057330e+02) (-1.127300e+00 -2.458053e-02 -2.827553e-03)) ((7.276230e+00 -3.506042e-02 2.891295e+00) (-4.987206e-04 9.496354e-02 -9.821796e-02))
4800          	((-4.693764e-01 3.213654e+02 2.056464e+02) (-1.127392e+00 -2.458475e-02 -2.701922e-03)) ((7.274503e+00 -9.981068e-02 3.046623e+00) (-4.796458e-04 9.535997e-02 -9.815103e-02))
4900          	((-4.793275e-01 3.211929e+02 2.055472e+02) (-1.127236e+00 -2.461836e-02 -2.413131e-03)) ((7.275175e+00 -1.463160e-01 3.134854e+00) (-4.810706e-04 9.579602e-02 -9.800070e-02))
5000          	((-4.834456e-01 3.211048e+02 2.054741e+02) (-1.127809e+00 -2.470926e-02 -2.044056e-03)) ((7.275915e+00 -1.792390e-01 3.171062e+00) (-4.969811e-04 9.621008e-02 -9.790941e-02))
5100          	((-4.811137e-01 3.210512e+02 2.054114e+02) (-1.127109e+00 -2.475485e-02 -1.878117e-03)) ((7.277861e+00 -1.920213e-01 3.149866e+00) (-4.939985e-04 9.651104e-02 -9.777442e-02))
5200          	((-4.748540e-01 3.210255e+02 2.053566e+02) (-1.127167e+00 -2.486451e-02 -1.583435e-03)) ((7.280557e+00 -1.956054e-01 3.094991e+00) (-5.120562e-04 9.684168e-02 -9.765373e-02))
5300          	((-4.641449e-01 3.210539e+02 2.053320e+02) (-1.127448e+00 -2.496766e-02 -1.363031e-03)) ((7.283546e+00 -1.823774e-01 3.000431e+00) (-5.260816e-04 9.711331e-02 -9.757002e-02))
5400          	((-4.503706e-01 3.211289e+02 2.053297e+02) (-1.127565e+00 -2.507253e-02 -1.088361e-03)) ((7.286738e+00 -1.571971e-01 2.878045e+00) (-5.504280e-04 9.729457e-02 -9.751780e-02))
